idPaiement|date_solde_paiement|montant_total_HT|idFacture
1|2007-02-23 06:54:00|5,6500000000000004|1
2|2004-08-06 00:40:00|61,170000000000002|2
3|2009-06-03 05:58:00|72|2
4|2009-02-25 05:34:00|7,5499999999999998|2
5|2000-04-23 09:33:00|4,1299999999999999|3
6|2004-05-23 09:13:00|23,600000000000001|3
7|2020-09-02 08:15:00|163,05000000000001|4
8|2004-09-28 09:40:00|7,75|4
9|2015-05-29 10:58:00|13,24|4
10|2014-10-27 05:11:00|9,1699999999999999|5
11|2008-09-29 07:48:00|108,48999999999999|5
12|2017-06-25 04:06:00|17,289999999999999|5
13|2008-04-06 03:30:00|5,5|6
14|2009-05-15 01:53:00|131,05000000000001|7
15|2005-01-26 06:05:00|72,629999999999995|7
16|2002-09-28 00:00:00|95,810000000000002|7
17|2007-07-11 06:19:00|23,32|8
18|2012-09-14 05:41:00|5,9900000000000002|8
19|2008-01-20 06:11:00|9,5999999999999996|8
20|2005-01-14 04:06:00|432,10000000000002|9
21|2001-06-08 09:37:00|96,700000000000003|9
22|2014-09-12 10:54:00|180,28|10
23|2011-07-13 07:55:00|445,75|10
24|2003-06-08 03:24:00|9,6300000000000008|11
25|2007-06-04 04:35:00|337,63999999999999|11
26|2000-07-03 10:43:00|45,100000000000001|11
27|2010-09-13 03:54:00|74,810000000000002|12
28|2021-09-04 10:46:00|112,09999999999999|13
29|2006-07-08 06:03:00|52,759999999999998|13
30|2003-09-17 07:10:00|339,19|14
31|2011-03-29 10:29:00|398,63999999999999|14
32|2016-04-16 07:23:00|1,28|15
33|2003-12-29 00:24:00|318,63999999999999|15
34|2002-12-04 06:57:00|73,560000000000002|16
35|2001-01-08 06:57:00|194,58000000000001|17
36|2011-09-06 10:55:00|95|17
37|2007-01-29 10:57:00|90,519999999999996|17
38|2020-02-25 06:49:00|37|18
39|2002-01-06 04:38:00|47,170000000000002|18
40|2019-08-01 06:32:00|270,29000000000002|19
41|2003-07-29 06:35:00|6,75|19
42|2020-04-11 04:04:00|3,2400000000000002|20
43|2017-06-15 00:20:00|2,4700000000000002|20
44|2019-05-30 08:19:00|48,700000000000003|21
45|2004-08-12 08:17:00|79,140000000000001|21
46|2007-12-20 07:44:00|45,840000000000003|22
47|2011-09-09 00:20:00|16,25|23
48|2020-07-07 06:18:00|8,6600000000000001|23
49|2004-12-04 10:30:00|1,78|23
50|2010-12-04 03:01:00|61,240000000000002|24
51|2012-11-18 03:16:00|8,6799999999999997|24
52|2016-07-27 05:30:00|57,229999999999997|25
53|2015-07-14 09:08:00|7,5999999999999996|26
54|2015-06-07 01:20:00|337,20999999999998|27
55|2008-11-16 01:02:00|12,4|28
56|2015-06-11 00:14:00|27,77|28
57|2018-06-28 04:39:00|63,75|29
58|2002-03-23 06:20:00|237,34|29
59|2009-06-27 10:58:00|19,309999999999999|30
60|2017-01-24 05:29:00|8,4600000000000009|30
