id_tarif_lot|prix_unitaire|quantite_minimum|idArticle
1|7,54|50|1
2|43,100000000000001|36|1
3|5,6299999999999999|32|1
4|7,3399999999999999|47|2
5|1,5700000000000001|22|3
6|49,659999999999997|19|3
7|64,150000000000006|27|4
8|1,3799999999999999|26|5
9|90,450000000000003|26|5
10|20,48|36|6
11|4,5899999999999999|46|6
12|9,1199999999999992|46|7
13|99,349999999999994|5|7
14|3,0299999999999998|2|7
15|28,219999999999999|23|8
16|89,879999999999995|20|8
17|3,6200000000000001|2|8
18|5,9900000000000002|48|9
19|2,0099999999999998|12|9
20|8,0600000000000005|45|9
21|1,95|28|10
22|65,859999999999999|3|10
23|2,5|10|10
24|3,6099999999999999|34|11
25|7,5899999999999999|39|12
26|79,799999999999997|46|12
27|50,490000000000002|47|13
28|23,800000000000001|43|13
29|45,359999999999999|37|14
30|11,369999999999999|14|14
31|26,350000000000001|36|14
32|6,0599999999999996|39|15
33|16,780000000000001|35|16
34|2,8100000000000001|35|17
35|3,7799999999999998|3|17
36|24,460000000000001|17|18
37|39,009999999999998|29|18
38|6,04|33|18
39|17,82|27|19
40|5,3399999999999999|50|20
41|85,650000000000006|34|21
42|6,0199999999999996|18|21
43|7,9100000000000001|43|22
44|83,840000000000003|37|22
45|45,130000000000003|20|22
46|2,7200000000000002|30|23
47|4,7199999999999998|34|23
48|6,3499999999999996|12|24
49|2,2599999999999998|11|25
50|91|12|25
51|32,189999999999998|33|25
52|18,640000000000001|49|26
53|66,510000000000005|34|26
54|1,04|7|27
55|4,8399999999999999|49|27
56|37,289999999999999|20|28
57|88,760000000000005|12|28
58|32,539999999999999|46|28
59|4,1399999999999997|43|29
60|38,43|28|29
61|5,6200000000000001|36|29
62|3,7999999999999998|33|30
63|87,920000000000002|16|30
64|87,269999999999996|47|30
65|53,380000000000003|6|31
66|71,980000000000004|6|31
67|77,680000000000007|36|31
68|61,170000000000002|26|32
69|4,9299999999999997|18|32
70|23,57|39|32
71|86,900000000000006|7|33
72|77,150000000000006|35|33
73|6,1900000000000004|36|33
74|7,6299999999999999|22|34
75|4,0199999999999996|25|34
76|6,3600000000000003|48|35
77|4,54|14|36
78|5,3799999999999999|30|37
79|9,2599999999999998|6|37
80|30,600000000000001|36|37
81|6,5800000000000001|13|38
82|3,0699999999999998|43|38
83|3,3199999999999998|24|39
84|68,019999999999996|6|39
85|66,109999999999999|10|39
86|6,8700000000000001|9|40
87|81,879999999999995|36|40
88|6,7000000000000002|50|41
89|5,4400000000000004|42|41
90|73,920000000000002|39|41
91|43,960000000000001|22|42
92|77,290000000000006|35|43
93|20,739999999999998|42|44
94|8,2400000000000002|4|44
95|9,5299999999999994|30|45
96|75,120000000000005|9|45
97|7,0700000000000003|10|46
98|61,049999999999997|38|46
99|85,280000000000001|2|46
100|24,050000000000001|30|47
