id_ligne_facture|designation|quantite|prix_unitaire_ligne_facture|TVA|idFacture
1|Posters|15|38,200000000000003|27,32|1
2|Snow Peas|43|4,5999999999999996|3,0899999999999999|1
3|Squash|27|35,060000000000002|1,52|2
4|SOUP VEGETABLE|24|4,8399999999999999|6,71|2
5|Posters|48|7,2199999999999998|5,7800000000000002|3
6|BINS WATERMELON|25|95,379999999999995|34,490000000000002|3
7|Pop Corn|49|4,3499999999999996|26,600000000000001|3
8|Pop Corn|22|60,700000000000003|25,27|4
9|BINS WATERMELON|45|2,5|5,0199999999999996|4
10|Squash|12|1,73|5,8799999999999999|4
11|Devils Claw|27|8,0800000000000001|9,7899999999999991|5
12|GATORADE LEMON LIME|30|32,700000000000003|2,6899999999999999|5
13|APPLE GRANNY SMITH|29|1,76|1,9199999999999999|5
14|APPLE GRANNY SMITH|42|4,0599999999999996|1,0600000000000001|6
15|APPLE GRANNY SMITH|28|3,25|1,1899999999999999|7
16|Devils Claw|17|13,51|7,7699999999999996|7
17|ELBOWS WHOLE WHEAT|4|1,8799999999999999|5,9800000000000004|7
18|SARDINES ITALIAN|24|78,659999999999997|6,4000000000000004|8
19|Rutabaga|15|2,6000000000000001|7,4500000000000002|9
20|CHERRIES  BRANDY/BOOT|45|9,1500000000000004|5,3300000000000001|10
21|HAMBURG DILL CHIPS|39|10,59|1,8100000000000001|10
22|CHERRIES  BRANDY/BOOT|13|2,5499999999999998|9,0600000000000005|11
23|Posters|43|27,940000000000001|17,859999999999999|11
24|Noni Fruit|3|2,1400000000000001|14,58|12
25|COFFEE FILTER LARGE|46|6,9100000000000001|41,380000000000003|12
26|COFFEE FILTER LARGE|3|24,300000000000001|3,8799999999999999|13
27|Blue-Green Algae|31|4,9800000000000004|7,46|13
28|Saw Palmetto|12|46,939999999999998|1,71|14
29|Leeks|2|5,9699999999999998|6,9299999999999997|14
30|Cayenne Plus|21|1,29|1,8600000000000001|14
31|Rutabaga|49|3,7799999999999998|30,719999999999999|15
32|Goldenseal|11|31,66|9,6099999999999994|15
33|HAMBURG DILL CHIPS|10|82,75|5,5700000000000003|15
34|TOOTSIE POPS|39|17,649999999999999|6,2699999999999996|16
35|Tomatillos|39|2,5699999999999998|9,4199999999999999|16
36|TEA NESTEA|31|36,649999999999999|37,200000000000003|17
37|White Tomatoes|29|4,0199999999999996|1,9199999999999999|17
38|Gingko Plus 4|24|8,9199999999999999|3,2799999999999998|18
39|Sweet Peppers|9|3,5099999999999998|2,8500000000000001|19
40|Kale|40|6,6799999999999997|9,9800000000000004|19
41|Posters|10|7,3399999999999999|1,1299999999999999|19
42|Kale|26|3,98|9,5|20
43|Posters|13|5,9800000000000004|21,879999999999999|20
44|Posters|9|63,909999999999997|4,8899999999999997|21
45|Beets|7|21,170000000000002|48,07|21
46|Posters|4|7,2699999999999996|6,7300000000000004|22
47|Gingko Plus 4|11|4,9699999999999998|9,2799999999999994|23
48|Kale|8|2,8700000000000001|3,8100000000000001|24
49|Slicing Cucumbers|1|6,7400000000000002|19,73|24
50|TOOTSIE POPS|36|1,6399999999999999|44,990000000000002|24
51|SNAPPER RED|43|42,439999999999998|41,950000000000003|25
52|Rutabaga|10|4,4299999999999997|20,390000000000001|25
53|Chasteberry Tea|21|88,069999999999993|6,0800000000000001|26
54|Devils Claw|29|75,569999999999993|9,1300000000000008|27
55|Devils Claw|42|8,5600000000000005|6,6399999999999997|28
56|Posters|8|7,0700000000000003|38,380000000000003|28
57|Devils Claw|31|6,3300000000000001|5,79|29
58|Chasteberry Tea|24|2,0699999999999998|5,1799999999999997|29
59|Goldenseal|7|73,709999999999994|16,989999999999998|29
60|Posters|14|9,4399999999999995|19,18|30
